ID,Kingdom,Phylum,Class,Order,Family Latin,Genum Latin,Species Name English,Species Name Latin,Subspecies Name Latin,Target kind,Breed,FCI classification,Pure breed,Second breed,Number of dogs,Continent,Country,Country Specification,Ref_Abbreviation,Type of source,Year,Human comparison
1021,Animalia,Arthropoda,Arachnida,Sarcopti,Sarcoptidae,Sarcoptes,Itch mite,Sarcoptes scabiei,,living individuals,Bavarian Mountain Scent Hound,Scenthounds,TRUE,,2,Europe,Italy,Dolomite Alps,Alasaad et al. 2012,scientific paper,2012,No comparison
788,Animalia,Arthropoda,Insecta,Blattodea,Isoptera,,,,,living individuals,Beagle,Scenthounds,TRUE,,1,North America,USA,,Brandon Pest Control 2016,popular science webpage,2016,Dogs are better
1832,Animalia,Arthropoda,Insecta,Blattodea,Isoptera,,,,,living individuals,Beagle,Scenthounds,TRUE,,2,North America,USA,,Myers 1988,newspaper,1988,No comparison
629,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
628,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
822,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
821,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Formosan subterranean termites,Coptotermes formosanus,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
631,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
630,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
823,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
824,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Cryptotermes,Powderpost termites,Cryptotermes cavifrons,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
633,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
632,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
825,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
826,Animalia,Arthropoda,Insecta,Blattodea,Kalotermitidae,Icistermes,Drywood termite,Incisitermes snyderi,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Oi et al. 2003b,popular science magazine,2003,Dogs are better
1722,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals and nests,Beagle,Scenthounds,TRUE,,6,North America,USA,California,Caruba 1981,popular science magazine,1981,No comparison
1757,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals and nests,Australian Cattle Dog,Sheepdogs and Cattledogs,FALSE,,2,North America,USA,Texas,Fincannon 1995,popular science webpage,1995,No comparison
1115,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals,Labrador Retriever,"Retrievers, Flushing dogs, Water dogs",TRUE,,1,Oceania,Australia,,Myrmecia 2018,scientific paper,2018,No comparison
359,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Coptotermes,,,,living individuals,Beagle,Scenthounds,TRUE,,1,Oceania,Australia,,Zahid et al. 2012,scientific paper,2012,Dogs are better
495,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,No comparison
494,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,No comparison
624,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
625,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,Beagle,Scenthounds,TRUE,,5,North America,USA,,Brooks et al. 2003,scientific paper,2003,Dogs are better
827,Animalia,Arthropoda,Insecta,Blattodea,Rhinotermitidae,Reticulitermes,Eastern subterranean termite,Reticulitermes flavipes,,living individuals,German Shepherd Dog,Sheepdogs and Cattledogs,TRUE,,1,North America,USA,,Oi et al. 2003a,popular science magazine,2003,Dogs are better
